Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P009_WG03	3125382	1307281	41.8	329	266	265	258	231	190	53	38	70	0	0	265	0	299875
FMN_104811_P009_WG04	2930106	1254955	42.8	324	276	272	269	236	202	57	8	13	0	0	272	0	306687
FMN_104811_P009_WG05	324862	137731	42.4	262	182	179	167	135	104	6	15	26	0	0	179	0	166803
FMN_104811_P009_WG06	2483814	977218	39.3	311	243	242	227	184	138	22	12	39	0	0	242	0	225650
FMN_104811_P009_WG07	2876530	1263209	43.9	324	275	271	267	238	209	77	40	62	0	0	271	0	332512
FMN_104811_P009_WG09	1224948	487769	39.8	311	256	255	252	225	188	60	42	59	0	0	255	0	300302
FMN_104811_P009_WG10	1123674	426441	38.0	310	237	236	224	191	139	26	20	44	0	0	236	0	234966
FMN_104811_P009_WG11	515786	190617	37.0	293	209	208	194	153	101	12	8	31	0	0	208	0	186612
FMN_104811_P009_WH11	1023828	383598	37.5	299	223	220	219	212	195	93	8	10	0	0	220	0	336055
FMN_104811_P010_WA01	2208976	918421	41.6	329	274	273	271	261	235	134	62	79	0	0	273	0	411022
FMN_104811_P010_WB01	3794822	1638843	43.2	345	244	241	241	236	225	150	98	123	0	0	241	0	433900
FMN_104811_P010_WB02	3702370	1570455	42.4	348	275	273	273	267	255	164	76	99	0	0	273	0	475691
FMN_104811_P010_WB09	1328740	488404	36.8	329	233	231	231	215	192	96	44	61	0	0	231	0	336613
FMN_104811_P010_WE02	1593070	607653	38.1	344	242	240	238	225	198	110	58	72	0	0	240	0	360107
FMN_104811_P011_WC09	957620	396584	41.4	309	246	245	245	236	210	110	36	56	0	0	245	0	360252
FMN_104811_P011_WF05	801044	286633	35.8	312	237	235	235	227	212	108	19	19	0	0	235	0	363237
FMN_104811_P013_WA04	987840	413055	41.8	321	248	246	244	241	223	129	55	74	0	0	246	0	396298
FMN_104811_P013_WA05	405044	124714	30.8	300	225	221	220	201	173	59	5	10	0	0	221	0	288907
FMN_104811_P013_WA10	1351750	573438	42.4	323	271	269	265	249	219	97	33	42	0	0	269	0	367312
FMN_104811_P013_WE08	83966	30787	36.7	258	183	182	170	135	99	10	5	9	0	0	182	0	168418
FMN_104811_P014_WA02	1291658	535990	41.5	318	260	258	258	247	230	133	10	15	0	0	258	0	402675
PAFTOL_006272	3016092	57782	1.9	377	238	235	232	223	208	122	5	9	0	0	235	0	299421
PAFTOL_006274	2270766	106485	4.7	375	270	267	267	251	237	153	31	47	0	0	267	0	352784
PAFTOL_006275	1334798	66002	4.9	377	250	246	242	231	215	135	25	38	0	0	246	0	312897
PAFTOL_006277	1490140	29821	2.0	362	236	231	219	179	142	40	5	8	0	0	231	0	175266
PAFTOL_006280	1101132	42225	3.8	357	190	186	184	180	162	81	13	17	0	0	186	0	217901
PAFTOL_006281	5275962	159159	3.0	377	300	289	285	272	255	185	8	12	0	0	289	0	412104
